Province_Name,Province_ID,District_Name,District_ID,Sector_Name,Sector_ID,Cell_Name,Cell_ID,Village_Name,Villade_ID
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Kora,03040104,Kageli,0304010404
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Kora,03040104,Ruhinga,0304010405
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Kora,03040104,Rukore,0304010406
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Kora,03040104,Rwankuba,0304010407
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Muhe,03040105,Bihangara,0304010501
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Muhe,03040105,Kananira,0304010502
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Muhe,03040105,Kirandaryi,0304010503
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Muhe,03040105,Murambi,0304010504
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Muhe,03040105,Rusogo,0304010505
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Rega,03040106,Gaturo,0304010601
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Rega,03040106,Kabaya,0304010602
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Rega,03040106,Kagano,0304010603
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Rega,03040106,Kariyeri,0304010604
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Rega,03040106,Kinamba,0304010605
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Rega,03040106,Mizingo,0304010606
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Rega,03040106,Ngangare,0304010607
Iburengerazuba,03,Nyabihu,0304,Bigogwe,030401,Rega,03040106,Nyagafumberi,0304010608
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Bushaka,03020101,Bikono,0302010101
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Bushaka,03020101,Bugarura,0302010102
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Bushaka,03020101,Gaseke,0302010103
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Bushaka,03020101,Kabirizi,0302010104
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Bushaka,03020101,Kinunu,0302010105
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Bushaka,03020101,Muramba,0302010106
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Bushaka,03020101,Rutagara,0302010107
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Bushaka,03020101,Rwimbogo,0302010108
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Kabihogo,03020102,Buhonongo,0302010201
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Kabihogo,03020102,Bweramana,0302010202
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Kabihogo,03020102,Gashoko,0302010203
Iburengerazuba,03,Rutsiro,0302,Boneza,030201,Kabihogo,03020102,Kamuyaga,0302010204
